query	taxid	go	multi_taxids_confidence	go_id_confidence	nonviral_adhesion	viral_adhesion	antibiotic_resistance	avirulence_plant	counter_immunoglobulin	cytotoxicity	develop_in_host	disable_organ	plant_rna_silencing	induce_inflammation	nonviral_invasion	viral_invasion	degrade_ecm	host_cytoskeleton	host_cell_cycle	host_cell_death	host_gtpase	host_transcription	host_translation	host_ubiquitin	host_xenophagy	nonviral_movement	viral_movement	toxin_synthase	resist_complement	resist_oxidative	secreted_effector	secretion	suppress_detection	bacterial_counter_signaling	viral_counter_signaling	virulence_regulator	virulence_activity	size	organism	gene_name	uniprot	uniprot evalue
Oct29_142	204038	GO:0004536;GO:0006259;GO:0090729;GO:0004518;GO:0016787;GO:0035821;GO:0090305;GO:0016740;GO:0009405	204038:0.87226,198628:1,1240086:0.86653,1231725:0.86895,1225786:0.86653,1089444:0.86895	GO:0004536[1.0];GO:0006259[1.0];GO:0090729[1.0];GO:0004518[1.0];GO:0016787[1.0];GO:0035821[1.0];GO:0090305[1.0];GO:0016740[1.0];GO:0009405[1.0]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	504	Dickeya dadantii	Deoxyribonuclease CdiA	E0SDG8	2.68e-106
Oct29_199	223341	GO:0003677;GO:0005524;GO:0006260;GO:0016888;GO:0004386;GO:0006259;GO:0016787;GO:0000166;GO:0008152;GO:0016779;GO:0003824;GO:0016032;GO:0004518;GO:0046872;GO:0090305;GO:0039684;GO:0005198;GO:0016740;GO:0004519	223341:1	GO:0003677[1.0];GO:0005524[1.0];GO:0006260[1.0];GO:0016888[1.0];GO:0004386[1.0];GO:0006259[1.0];GO:0016787[1.0];GO:0000166[1.0];GO:0008152[1.0];GO:0016779[1.0];GO:0003824[1.0];GO:0016032[1.0];GO:0004518[1.0];GO:0046872[1.0];GO:0090305[1.0];GO:0039684[1.0];GO:0005198[1.0];GO:0016740[1.0];GO:0004519[1.0]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	Tomato golden mosaic virus-Yellow vein	Replication-associated protein	P03567	1.34e-64
Oct29_017	291607	GO:0003723;GO:0003677;GO:0005524;GO:0006260;GO:0016888;GO:0004386;GO:0006259;GO:0018142;GO:0016787;GO:0000166;GO:0016887;GO:0008152;GO:0003724;GO:0016779;GO:0003824;GO:0004518;GO:0046872;GO:0090305;GO:0016740;GO:0004519	291607:1	GO:0003723[1.0];GO:0003677[1.0];GO:0005524[1.0];GO:0006260[1.0];GO:0016888[1.0];GO:0004386[1.0];GO:0006259[1.0];GO:0018142[1.0];GO:0016787[1.0];GO:0000166[1.0];GO:0016887[1.0];GO:0008152[1.0];GO:0003724[1.0];GO:0016779[1.0];GO:0003824[1.0];GO:0004518[1.0];GO:0046872[1.0];GO:0090305[1.0];GO:0016740[1.0];GO:0004519[1.0]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	Subterranean clover stunt virus (strain F)	Master replication protein	Q9ICP7	2.93e-17
Oct29_231	8030	GO:0006096;GO:0016829;GO:0004332;GO:0003824	8030:1,8032:0.94,8036:0.9854,8023:0.99254,8019:0.98507,8022:0.98507,74940:0.98507,861768:0.95	GO:0006096[1.0];GO:0016829[1.0];GO:0004332[1.0];GO:0003824[1.0]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	Salmo salar	Fructose-bisphosphate aldolase A	B5DGM7	5.71e-22
Oct29_255	34649	GO:0008203;GO:0008200;GO:0019871;GO:0008202;GO:0035821;GO:0006694;GO:0016126;GO:0006695;GO:0090729;GO:0009405;GO:0006629	34649:1	GO:0008203[1.0];GO:0008200[1.0];GO:0019871[1.0];GO:0008202[1.0];GO:0035821[1.0];GO:0006694[1.0];GO:0016126[1.0];GO:0006695[1.0];GO:0090729[1.0];GO:0009405[1.0];GO:0006629[1.0]	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	Mesobuthus martensii	HMG-CoA reductase inhibitor bumarsin	Q95P90	3.06e-16
Oct29_080	1304279	GO:0003723;GO:0019835;GO:0008168;GO:0042254;GO:0035821;GO:0032259;GO:0044179;GO:0006364;GO:0090729;GO:0016740;GO:0009405	1304279:1,83331:1	GO:0003723[1.0];GO:0019835[1.0];GO:0008168[1.0];GO:0042254[1.0];GO:0035821[1.0];GO:0032259[1.0];GO:0044179[1.0];GO:0006364[1.0];GO:0090729[1.0];GO:0016740[1.0];GO:0009405[1.0]	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	Mycobacterium tuberculosis str. Haarlem/NITR202	16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA	P9WJ62	7.06e-09
Oct29_167	71421	GO:0008233;GO:0008236;GO:0016787;GO:0004252;GO:0004175;GO:0006508;GO:0009405	71421:1	GO:0008233[1.0];GO:0008236[1.0];GO:0016787[1.0];GO:0004252[1.0];GO:0004175[1.0];GO:0006508[1.0];GO:0009405[1.0]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	862	Haemophilus influenzae Rd KW20	Immunoglobulin A1 protease autotransporter	P44969	0.0
Oct29_194	28344	GO:0008233;GO:0039644;GO:0003968;GO:0008236;GO:0016787;GO:0008234;GO:0008152;GO:0036459;GO:0039579;GO:0003824;GO:0016032;GO:0006508;GO:0039502;GO:0004197;GO:0030683;GO:0016740;GO:0039648;GO:0003678;GO:0019082;GO:0003723;GO:0005524;GO:0004386;GO:0032508;GO:0000166;GO:0008270;GO:0039563;GO:0004252;GO:0003724;GO:0016779;GO:0006351;GO:0001172;GO:0046872;GO:0039503;GO:0039694;GO:0075523	28344:0.94776,857306:1	GO:0008233[1.0];GO:0039644[1.0];GO:0003968[1.0];GO:0008236[1.0];GO:0016787[1.0];GO:0008234[1.0];GO:0008152[1.0];GO:0036459[1.0];GO:0039579[1.0];GO:0003824[1.0];GO:0016032[1.0];GO:0006508[1.0];GO:0039502[1.0];GO:0004197[1.0];GO:0030683[1.0];GO:0016740[1.0];GO:0039648[1.0];GO:0003678[1.0];GO:0019082[1.0];GO:0003723[1.0];GO:0005524[1.0];GO:0004386[1.0];GO:0032508[1.0];GO:0000166[1.0];GO:0008270[1.0];GO:0039563[1.0];GO:0004252[1.0];GO:0003724[1.0];GO:0016779[1.0];GO:0006351[1.0];GO:0001172[1.0];GO:0046872[1.0];GO:0039503[1.0];GO:0039694[1.0];GO:0075523[1.0]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	268	Porcine reproductive and respiratory syndrome virus	Replicase polyprotein 1ab	A0MD28	3.26e-52
Oct29_195	11569	GO:0016032;GO:0030683;GO:0039557;GO:0039548;GO:0039503	11569:1,126796:1	GO:0016032[1.0];GO:0030683[1.0];GO:0039557[1.0];GO:0039548[1.0];GO:0039503[1.0]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	764	Thogoto thogotovirus	ML	Q80JT4	0.0
Oct29_201	4202	GO:0017148;GO:0016787;GO:0035821;GO:0090729;GO:0000166;GO:0030246;GO:0006952;GO:0030598	4202:1	GO:0017148[1.0];GO:0016787[1.0];GO:0035821[1.0];GO:0090729[1.0];GO:0000166[1.0];GO:0030246[1.0];GO:0006952[1.0];GO:0030598[1.0]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	639	Sambucus nigra	Ribosome-inactivating protein SNAIf	O22415	1.08e-147
